ID,Label,Part-of-Speech,Glossary
K39,abadiah,Nomina (n),kekekalan
K40,abadiat,Nomina (n),abadiah
K41,abah,Nomina (n),arah; tuju: aba
K42,abah-abah,Nomina (n),alat; perkakas tali-temali
K43,abah-abah kuda,Nomina (n),"pakaian kuda (tali kekang, pelana, dsb)"
K44,abah-abah perahu,Nomina (n),tali-temali perahu
K45,abah-abah tenun,Nomina (n),perkakas tenun
K46,abai,Adjektiva (adj),"tidak dipedulikan (tidak dikerjakan baik-baik, tidak dipentingkan, dsb) lalai"
