ID,Translation-Batak
K1550,http://btkword-rdf.com/B2399
K1550,http://btkword-rdf.com/B2491
K1567,http://btkword-rdf.com/B1686
K1567,http://btkword-rdf.com/B2527
K1598,http://btkword-rdf.com/B9213
K1613,http://btkword-rdf.com/B6241
K1632,http://btkword-rdf.com/B9063
K1655,http://btkword-rdf.com/B6295
K1725,http://btkword-rdf.com/B10916
K1770,http://btkword-rdf.com/B628
K1770,http://btkword-rdf.com/B6646
K1778,http://btkword-rdf.com/B3114
K1779,http://btkword-rdf.com/B644
K1779,http://btkword-rdf.com/B9540
K1782,http://btkword-rdf.com/B607
K1782,http://btkword-rdf.com/B607
K1797,http://btkword-rdf.com/B1960
K1807,http://btkword-rdf.com/B2416
K1809,http://btkword-rdf.com/B5688
K1832,http://btkword-rdf.com/B607
K1846,http://btkword-rdf.com/B8325
K1862,http://btkword-rdf.com/B11058
K1865,http://btkword-rdf.com/B694
K1865,http://btkword-rdf.com/B695
K1865,http://btkword-rdf.com/B2002
K1865,http://btkword-rdf.com/B10463
K1865,http://btkword-rdf.com/B10957
K1867,http://btkword-rdf.com/B387
K1873,http://btkword-rdf.com/B176
K1925,http://btkword-rdf.com/B3058
K1993,http://btkword-rdf.com/B753
K1993,http://btkword-rdf.com/B8103
K1995,http://btkword-rdf.com/B5267
K1998,http://btkword-rdf.com/B104
K1998,http://btkword-rdf.com/B3127
K1998,http://btkword-rdf.com/B3441
K1998,http://btkword-rdf.com/B6510
K1998,http://btkword-rdf.com/B10165
K2002,http://btkword-rdf.com/B6167
K2003,http://btkword-rdf.com/B5879
K2020,http://btkword-rdf.com/B9404
K2023,http://btkword-rdf.com/B731
K2023,http://btkword-rdf.com/B5563
K2023,http://btkword-rdf.com/B10166
K2030,http://btkword-rdf.com/B1222
K2030,http://btkword-rdf.com/B11189
K2038,http://btkword-rdf.com/B3141
K2042,http://btkword-rdf.com/B460
K2050,http://btkword-rdf.com/B1938
K2050,http://btkword-rdf.com/B2746
K2050,http://btkword-rdf.com/B4765
K2068,http://btkword-rdf.com/B624
K2068,http://btkword-rdf.com/B1092
K2068,http://btkword-rdf.com/B6903
K2075,http://btkword-rdf.com/B498
K2079,http://btkword-rdf.com/B9171
K2115,http://btkword-rdf.com/B10127
K2119,http://btkword-rdf.com/B3548
K2160,http://btkword-rdf.com/B5941
K2169,http://btkword-rdf.com/B6189
K2169,http://btkword-rdf.com/B9329
K2169,http://btkword-rdf.com/B10748
K2189,http://btkword-rdf.com/B2417
K2204,http://btkword-rdf.com/B8964
K2265,http://btkword-rdf.com/B5200
K2265,http://btkword-rdf.com/B10476
K2270,http://btkword-rdf.com/B3344
K2274,http://btkword-rdf.com/B7247
K2274,http://btkword-rdf.com/B10736
K2288,http://btkword-rdf.com/B992
K2288,http://btkword-rdf.com/B4954
K2288,http://btkword-rdf.com/B7026
K2296,http://btkword-rdf.com/B390
K2298,http://btkword-rdf.com/B87
K2298,http://btkword-rdf.com/B1869
K2298,http://btkword-rdf.com/B3690
K2300,http://btkword-rdf.com/B10238
K2311,http://btkword-rdf.com/B1288
K2311,http://btkword-rdf.com/B3866
K2311,http://btkword-rdf.com/B6043
K2313,http://btkword-rdf.com/B59
K2313,http://btkword-rdf.com/B101
K2313,http://btkword-rdf.com/B642
K2313,http://btkword-rdf.com/B5455
K2315,http://btkword-rdf.com/B3257
K2350,http://btkword-rdf.com/B524
K2426,http://btkword-rdf.com/B6143
K2431,http://btkword-rdf.com/B11051
K2438,http://btkword-rdf.com/B1902
K2438,http://btkword-rdf.com/B1994
K2438,http://btkword-rdf.com/B6526
K2438,http://btkword-rdf.com/B10773
K2460,http://btkword-rdf.com/B84
K2494,http://btkword-rdf.com/B704
K2518,http://btkword-rdf.com/B1102
K2518,http://btkword-rdf.com/B1209
K2518,http://btkword-rdf.com/B7503
K2551,http://btkword-rdf.com/B4409
K2554,http://btkword-rdf.com/B5563
K2566,http://btkword-rdf.com/B4679
K2583,http://btkword-rdf.com/B4833
K2583,http://btkword-rdf.com/B4835
K2589,http://btkword-rdf.com/B928
K2597,http://btkword-rdf.com/B7098
K2650,http://btkword-rdf.com/B9586
K2650,http://btkword-rdf.com/B10501
K2656,http://btkword-rdf.com/B1856
K2662,http://btkword-rdf.com/B2488
K2662,http://btkword-rdf.com/B7725
K2662,http://btkword-rdf.com/B10904
K2668,http://btkword-rdf.com/B605
K2668,http://btkword-rdf.com/B1303
K2668,http://btkword-rdf.com/B6252
K2673,http://btkword-rdf.com/B6252
K2674,http://btkword-rdf.com/B618
K2674,http://btkword-rdf.com/B3895
K2721,http://btkword-rdf.com/B10302
K2721,http://btkword-rdf.com/B10307
K2721,http://btkword-rdf.com/B10307
K2792,http://btkword-rdf.com/B444
K2795,http://btkword-rdf.com/B160
K2795,http://btkword-rdf.com/B4890
K2795,http://btkword-rdf.com/B7442
K2818,http://btkword-rdf.com/B10334
K2818,http://btkword-rdf.com/B10421
K2835,http://btkword-rdf.com/B619
K2835,http://btkword-rdf.com/B10222
K2904,http://btkword-rdf.com/B8306
K2927,http://btkword-rdf.com/B8291
K2935,http://btkword-rdf.com/B8739
K2935,http://btkword-rdf.com/B10135
K2942,http://btkword-rdf.com/B633
K2942,http://btkword-rdf.com/B2578
K2948,http://btkword-rdf.com/B5455
K2995,http://btkword-rdf.com/B10826
K2999,http://btkword-rdf.com/B40
K2999,http://btkword-rdf.com/B5352
K2999,http://btkword-rdf.com/B8346
K2999,http://btkword-rdf.com/B10575
K3027,http://btkword-rdf.com/B6372
K3122,http://btkword-rdf.com/B605
K3122,http://btkword-rdf.com/B1303
K3122,http://btkword-rdf.com/B6132
K3122,http://btkword-rdf.com/B7142
K3128,http://btkword-rdf.com/B6602
K3175,http://btkword-rdf.com/B4084
K3175,http://btkword-rdf.com/B4134
K3175,http://btkword-rdf.com/B7888
K3175,http://btkword-rdf.com/B7888
K3175,http://btkword-rdf.com/B10521
K3190,http://btkword-rdf.com/B202
K3190,http://btkword-rdf.com/B1707
K3199,http://btkword-rdf.com/B8792
K3201,http://btkword-rdf.com/B7832
K3201,http://btkword-rdf.com/B8793
K3203,http://btkword-rdf.com/B5707
K3250,http://btkword-rdf.com/B9359
K3257,http://btkword-rdf.com/B663
K3257,http://btkword-rdf.com/B10836
K3266,http://btkword-rdf.com/B1078
K3266,http://btkword-rdf.com/B10440
K3272,http://btkword-rdf.com/B2506
K3272,http://btkword-rdf.com/B3864
K3298,http://btkword-rdf.com/B1141
K3298,http://btkword-rdf.com/B10836
K3312,http://btkword-rdf.com/B7868
K3318,http://btkword-rdf.com/B674
K3327,http://btkword-rdf.com/B103
K3350,http://btkword-rdf.com/B3319
K3358,http://btkword-rdf.com/B4146
K3371,http://btkword-rdf.com/B9837
K3379,http://btkword-rdf.com/B2909
K3401,http://btkword-rdf.com/B1664
K3401,http://btkword-rdf.com/B1919
K3401,http://btkword-rdf.com/B6889
K3444,http://btkword-rdf.com/B3464
K3444,http://btkword-rdf.com/B9423
K3468,http://btkword-rdf.com/B701
K3471,http://btkword-rdf.com/B4183
K3471,http://btkword-rdf.com/B10836
K3487,http://btkword-rdf.com/B694
K3487,http://btkword-rdf.com/B695
K3487,http://btkword-rdf.com/B1836
K3487,http://btkword-rdf.com/B4141
K3487,http://btkword-rdf.com/B4289
K3487,http://btkword-rdf.com/B4896
K3487,http://btkword-rdf.com/B10334
K3487,http://btkword-rdf.com/B10957
K3495,http://btkword-rdf.com/B9395
K3559,http://btkword-rdf.com/B3850
K3559,http://btkword-rdf.com/B7969
K3559,http://btkword-rdf.com/B8373
K3559,http://btkword-rdf.com/B10916
K3560,http://btkword-rdf.com/B3301
K3642,http://btkword-rdf.com/B2721
K3642,http://btkword-rdf.com/B5739
K3655,http://btkword-rdf.com/B13
K3661,http://btkword-rdf.com/B120
K3661,http://btkword-rdf.com/B3941
K3662,http://btkword-rdf.com/B126
K3671,http://btkword-rdf.com/B1593
K3671,http://btkword-rdf.com/B1825
K3671,http://btkword-rdf.com/B1836
K3671,http://btkword-rdf.com/B4132
K3671,http://btkword-rdf.com/B4289
K3671,http://btkword-rdf.com/B4896
K3671,http://btkword-rdf.com/B9202
K3671,http://btkword-rdf.com/B9859
K3671,http://btkword-rdf.com/B10826
K3671,http://btkword-rdf.com/B10957
K3672,http://btkword-rdf.com/B955
K3672,http://btkword-rdf.com/B1593
K3672,http://btkword-rdf.com/B1797
K3672,http://btkword-rdf.com/B4658
K3672,http://btkword-rdf.com/B7736
K3672,http://btkword-rdf.com/B8898
K3677,http://btkword-rdf.com/B699
K3677,http://btkword-rdf.com/B1141
K3677,http://btkword-rdf.com/B7579
K3677,http://btkword-rdf.com/B9618
K3685,http://btkword-rdf.com/B733
K3689,http://btkword-rdf.com/B10318
K3704,http://btkword-rdf.com/B6782
K3705,http://btkword-rdf.com/B6782
K3707,http://btkword-rdf.com/B21
K3707,http://btkword-rdf.com/B746
K3787,http://btkword-rdf.com/B8591
K3787,http://btkword-rdf.com/B9687
K3789,http://btkword-rdf.com/B2281
K3789,http://btkword-rdf.com/B4667
K3789,http://btkword-rdf.com/B6222
K3791,http://btkword-rdf.com/B6191
K3797,http://btkword-rdf.com/B9684
K3797,http://btkword-rdf.com/B10860
K3800,http://btkword-rdf.com/B6565
K3818,http://btkword-rdf.com/B9815
K3833,http://btkword-rdf.com/B9082
K3833,http://btkword-rdf.com/B9125
K3851,http://btkword-rdf.com/B2936
K3852,http://btkword-rdf.com/B10604
K3863,http://btkword-rdf.com/B266
K3870,http://btkword-rdf.com/B4284
K3870,http://btkword-rdf.com/B5739
K3933,http://btkword-rdf.com/B767
K3944,http://btkword-rdf.com/B54
K3944,http://btkword-rdf.com/B5249
K3945,http://btkword-rdf.com/B5745
K3947,http://btkword-rdf.com/B804
K3953,http://btkword-rdf.com/B10736
K3966,http://btkword-rdf.com/B920
K3966,http://btkword-rdf.com/B3670
K3966,http://btkword-rdf.com/B7673
K3979,http://btkword-rdf.com/B7808
K3986,http://btkword-rdf.com/B5202
K3989,http://btkword-rdf.com/B1405
K3989,http://btkword-rdf.com/B10240
K4012,http://btkword-rdf.com/B815
K4012,http://btkword-rdf.com/B1388
K4012,http://btkword-rdf.com/B3628
K4012,http://btkword-rdf.com/B4982
K4083,http://btkword-rdf.com/B10769
K4100,http://btkword-rdf.com/B10637
K4101,http://btkword-rdf.com/B424
K4127,http://btkword-rdf.com/B946
K4127,http://btkword-rdf.com/B8957
K4133,http://btkword-rdf.com/B62
K4133,http://btkword-rdf.com/B370
K4133,http://btkword-rdf.com/B607
K4138,http://btkword-rdf.com/B858
K4141,http://btkword-rdf.com/B1099
K4141,http://btkword-rdf.com/B4373
K4141,http://btkword-rdf.com/B7476
