ID,Translation-Indonesia
B392,http://idword-rdf.com/K49063
B392,http://idword-rdf.com/K60344
B396,http://idword-rdf.com/K28547
B396,http://idword-rdf.com/K70972
B396,http://idword-rdf.com/K744
B396,http://idword-rdf.com/K69140
B398,http://idword-rdf.com/K54
B398,http://idword-rdf.com/K23697
B400,http://idword-rdf.com/K327
B400,http://idword-rdf.com/K33125
B400,http://idword-rdf.com/K33108
B402,http://idword-rdf.com/K46845
B403,http://idword-rdf.com/K31007
B403,http://idword-rdf.com/K57032
B410,http://idword-rdf.com/K47826
B410,http://idword-rdf.com/K65358
B413,http://idword-rdf.com/K1021
B420,http://idword-rdf.com/K71606
B420,http://idword-rdf.com/K19621
B424,http://idword-rdf.com/K65610
B424,http://idword-rdf.com/K4101
B425,http://idword-rdf.com/K43211
B428,http://idword-rdf.com/K21390
B434,http://idword-rdf.com/K10726
B434,http://idword-rdf.com/K58895
B434,http://idword-rdf.com/K4990
B436,http://idword-rdf.com/K46845
B441,http://idword-rdf.com/K69140
B441,http://idword-rdf.com/K46417
B441,http://idword-rdf.com/K21946
B441,http://idword-rdf.com/K59009
B444,http://idword-rdf.com/K2792
B447,http://idword-rdf.com/K30924
B449,http://idword-rdf.com/K25970
B449,http://idword-rdf.com/K23729
B460,http://idword-rdf.com/K2042
B465,http://idword-rdf.com/K22177
B466,http://idword-rdf.com/K413
B473,http://idword-rdf.com/K68982
B473,http://idword-rdf.com/K67792
B473,http://idword-rdf.com/K413
B479,http://idword-rdf.com/K19279
B479,http://idword-rdf.com/K49727
B484,http://idword-rdf.com/K70500
B489,http://idword-rdf.com/K66235
B492,http://idword-rdf.com/K21946
B498,http://idword-rdf.com/K62126
B498,http://idword-rdf.com/K2075
B499,http://idword-rdf.com/K56375
B499,http://idword-rdf.com/K5433
B507,http://idword-rdf.com/K48447
B510,http://idword-rdf.com/K31349
B514,http://idword-rdf.com/K344
B516,http://idword-rdf.com/K22571
B519,http://idword-rdf.com/K64326
B519,http://idword-rdf.com/K4904
B519,http://idword-rdf.com/K19431
B519,http://idword-rdf.com/K45655
B519,http://idword-rdf.com/K11608
B519,http://idword-rdf.com/K34322
B519,http://idword-rdf.com/K45978
B519,http://idword-rdf.com/K59587
B522,http://idword-rdf.com/K20016
B524,http://idword-rdf.com/K2350
B525,http://idword-rdf.com/K11952
B526,http://idword-rdf.com/K4992
B526,http://idword-rdf.com/K19435
B529,http://idword-rdf.com/K19880
B529,http://idword-rdf.com/K10726
B534,http://idword-rdf.com/K19880
B535,http://idword-rdf.com/K71080
B536,http://idword-rdf.com/K709
B536,http://idword-rdf.com/K70788
B540,http://idword-rdf.com/K32777
B542,http://idword-rdf.com/K68848
B542,http://idword-rdf.com/K20573
B547,http://idword-rdf.com/K23684
B548,http://idword-rdf.com/K59070
B548,http://idword-rdf.com/K61359
B548,http://idword-rdf.com/K47563
B551,http://idword-rdf.com/K33591
B551,http://idword-rdf.com/K19462
B551,http://idword-rdf.com/K6745
B551,http://idword-rdf.com/K66093
B554,http://idword-rdf.com/K19500
B556,http://idword-rdf.com/K62591
B557,http://idword-rdf.com/K62591
B565,http://idword-rdf.com/K33293
B568,http://idword-rdf.com/K33108
B568,http://idword-rdf.com/K33125
B573,http://idword-rdf.com/K6742
B573,http://idword-rdf.com/K19450
B576,http://idword-rdf.com/K26458
B576,http://idword-rdf.com/K60280
B579,http://idword-rdf.com/K27528
B582,http://idword-rdf.com/K19579
B582,http://idword-rdf.com/K6745
B590,http://idword-rdf.com/K66944
B590,http://idword-rdf.com/K27658
B599,http://idword-rdf.com/K54969
B599,http://idword-rdf.com/K71053
B600,http://idword-rdf.com/K64381
B600,http://idword-rdf.com/K9703
B600,http://idword-rdf.com/K33777
B600,http://idword-rdf.com/K427
B605,http://idword-rdf.com/K2668
B605,http://idword-rdf.com/K64211
B605,http://idword-rdf.com/K3122
B605,http://idword-rdf.com/K22940
B606,http://idword-rdf.com/K47251
B606,http://idword-rdf.com/K19462
B607,http://idword-rdf.com/K4133
B607,http://idword-rdf.com/K1782
B607,http://idword-rdf.com/K1832
B607,http://idword-rdf.com/K1782
B609,http://idword-rdf.com/K59777
B612,http://idword-rdf.com/K20573
B613,http://idword-rdf.com/K31035
B613,http://idword-rdf.com/K4844
B618,http://idword-rdf.com/K2674
B619,http://idword-rdf.com/K2835
B621,http://idword-rdf.com/K57758
B624,http://idword-rdf.com/K2068
B628,http://idword-rdf.com/K1770
B633,http://idword-rdf.com/K2942
B634,http://idword-rdf.com/K10736
B634,http://idword-rdf.com/K71996
B635,http://idword-rdf.com/K19663
B635,http://idword-rdf.com/K53515
B642,http://idword-rdf.com/K2313
B644,http://idword-rdf.com/K46441
B644,http://idword-rdf.com/K4374
B644,http://idword-rdf.com/K1779
B647,http://idword-rdf.com/K57109
B651,http://idword-rdf.com/K60054
B653,http://idword-rdf.com/K30358
B653,http://idword-rdf.com/K13386
B657,http://idword-rdf.com/K19433
B661,http://idword-rdf.com/K60557
B663,http://idword-rdf.com/K3257
B664,http://idword-rdf.com/K71996
B664,http://idword-rdf.com/K13090
B664,http://idword-rdf.com/K62017
B665,http://idword-rdf.com/K46382
B674,http://idword-rdf.com/K3318
B676,http://idword-rdf.com/K19555
B680,http://idword-rdf.com/K25984
B680,http://idword-rdf.com/K66954
B681,http://idword-rdf.com/K4851
B682,http://idword-rdf.com/K12939
B682,http://idword-rdf.com/K14481
B686,http://idword-rdf.com/K46334
B686,http://idword-rdf.com/K30311
B686,http://idword-rdf.com/K64018
B686,http://idword-rdf.com/K59192
B686,http://idword-rdf.com/K59316
B686,http://idword-rdf.com/K30311
B689,http://idword-rdf.com/K9844
B690,http://idword-rdf.com/K9844
B694,http://idword-rdf.com/K11608
B694,http://idword-rdf.com/K3487
B694,http://idword-rdf.com/K21199
B694,http://idword-rdf.com/K45978
B694,http://idword-rdf.com/K1865
B695,http://idword-rdf.com/K11608
B695,http://idword-rdf.com/K3487
B695,http://idword-rdf.com/K21199
B695,http://idword-rdf.com/K45978
B695,http://idword-rdf.com/K1865
B699,http://idword-rdf.com/K13025
B699,http://idword-rdf.com/K58659
B699,http://idword-rdf.com/K3677
B700,http://idword-rdf.com/K60894
B700,http://idword-rdf.com/K57284
B701,http://idword-rdf.com/K6846
B701,http://idword-rdf.com/K3468
B704,http://idword-rdf.com/K15843
B704,http://idword-rdf.com/K68812
B704,http://idword-rdf.com/K49538
B704,http://idword-rdf.com/K2494
B707,http://idword-rdf.com/K68945
B713,http://idword-rdf.com/K49727
B716,http://idword-rdf.com/K4266
B718,http://idword-rdf.com/K9844
B718,http://idword-rdf.com/K10624
B721,http://idword-rdf.com/K35844
B723,http://idword-rdf.com/K65773
B730,http://idword-rdf.com/K48798
B731,http://idword-rdf.com/K2023
B733,http://idword-rdf.com/K3685
B737,http://idword-rdf.com/K57725
B737,http://idword-rdf.com/K5096
B743,http://idword-rdf.com/K52954
B746,http://idword-rdf.com/K3707
B746,http://idword-rdf.com/K48510
B747,http://idword-rdf.com/K12229
B751,http://idword-rdf.com/K10284
B752,http://idword-rdf.com/K10284
B753,http://idword-rdf.com/K1993
B753,http://idword-rdf.com/K5234
B757,http://idword-rdf.com/K62431
B758,http://idword-rdf.com/K5023
B758,http://idword-rdf.com/K30161
B760,http://idword-rdf.com/K4925
B760,http://idword-rdf.com/K9727
B761,http://idword-rdf.com/K65652
B762,http://idword-rdf.com/K10130
B762,http://idword-rdf.com/K5056
B763,http://idword-rdf.com/K18524
B763,http://idword-rdf.com/K56375
B763,http://idword-rdf.com/K4246
B763,http://idword-rdf.com/K10253
B767,http://idword-rdf.com/K3933
B768,http://idword-rdf.com/K9550
B768,http://idword-rdf.com/K65387
B768,http://idword-rdf.com/K17522
B776,http://idword-rdf.com/K71100
B776,http://idword-rdf.com/K43142
B776,http://idword-rdf.com/K49577
B776,http://idword-rdf.com/K1219
B777,http://idword-rdf.com/K60015
B781,http://idword-rdf.com/K19779
B781,http://idword-rdf.com/K22454
B782,http://idword-rdf.com/K33985
B790,http://idword-rdf.com/K1167
B793,http://idword-rdf.com/K24005
B796,http://idword-rdf.com/K52029
B796,http://idword-rdf.com/K5059
B796,http://idword-rdf.com/K45845
B800,http://idword-rdf.com/K4538
B802,http://idword-rdf.com/K10965
B804,http://idword-rdf.com/K3947
B807,http://idword-rdf.com/K9550
B812,http://idword-rdf.com/K18958
B815,http://idword-rdf.com/K11036
B815,http://idword-rdf.com/K4012
B816,http://idword-rdf.com/K14147
B819,http://idword-rdf.com/K50794
B819,http://idword-rdf.com/K49592
B823,http://idword-rdf.com/K5263
B824,http://idword-rdf.com/K5263
B825,http://idword-rdf.com/K68324
B826,http://idword-rdf.com/K68324
B835,http://idword-rdf.com/K27528
B855,http://idword-rdf.com/K65958
B855,http://idword-rdf.com/K9749
B855,http://idword-rdf.com/K55189
B858,http://idword-rdf.com/K4138
B866,http://idword-rdf.com/K30756
B867,http://idword-rdf.com/K68996
B869,http://idword-rdf.com/K62700
B869,http://idword-rdf.com/K64819
B869,http://idword-rdf.com/K26002
B869,http://idword-rdf.com/K236
B870,http://idword-rdf.com/K15938
B870,http://idword-rdf.com/K60322
B870,http://idword-rdf.com/K64336
B873,http://idword-rdf.com/K4156
B876,http://idword-rdf.com/K22286
B880,http://idword-rdf.com/K4166
B880,http://idword-rdf.com/K64128
B883,http://idword-rdf.com/K13922
B883,http://idword-rdf.com/K24022
B888,http://idword-rdf.com/K60280
B889,http://idword-rdf.com/K4228
B894,http://idword-rdf.com/K5437
B894,http://idword-rdf.com/K1055
B895,http://idword-rdf.com/K9549
B895,http://idword-rdf.com/K21687
B896,http://idword-rdf.com/K12613
B896,http://idword-rdf.com/K55983
B898,http://idword-rdf.com/K4748
B898,http://idword-rdf.com/K4748
B900,http://idword-rdf.com/K19433
B903,http://idword-rdf.com/K19180
B903,http://idword-rdf.com/K62762
B904,http://idword-rdf.com/K12509
B904,http://idword-rdf.com/K24085
B904,http://idword-rdf.com/K29196
B906,http://idword-rdf.com/K21916
B909,http://idword-rdf.com/K4316
B911,http://idword-rdf.com/K11328
B912,http://idword-rdf.com/K5632
B912,http://idword-rdf.com/K59628
B912,http://idword-rdf.com/K34117
B914,http://idword-rdf.com/K35696
B915,http://idword-rdf.com/K12486
B915,http://idword-rdf.com/K63194
B918,http://idword-rdf.com/K24624
B918,http://idword-rdf.com/K20573
B918,http://idword-rdf.com/K4481
B920,http://idword-rdf.com/K60172
B920,http://idword-rdf.com/K60158
B920,http://idword-rdf.com/K3966
B927,http://idword-rdf.com/K4410
B928,http://idword-rdf.com/K6913
B928,http://idword-rdf.com/K2589
B929,http://idword-rdf.com/K27828
B933,http://idword-rdf.com/K30304
B933,http://idword-rdf.com/K10169
B936,http://idword-rdf.com/K65704
B941,http://idword-rdf.com/K4450
B943,http://idword-rdf.com/K9394
B946,http://idword-rdf.com/K4127
B952,http://idword-rdf.com/K5363
B955,http://idword-rdf.com/K57047
B955,http://idword-rdf.com/K46474
B955,http://idword-rdf.com/K3672
B961,http://idword-rdf.com/K58905
B961,http://idword-rdf.com/K56375
B961,http://idword-rdf.com/K19286
B967,http://idword-rdf.com/K15062
B967,http://idword-rdf.com/K5117
B968,http://idword-rdf.com/K19339
B968,http://idword-rdf.com/K14984
B971,http://idword-rdf.com/K12640
B974,http://idword-rdf.com/K11495
B975,http://idword-rdf.com/K4514
B976,http://idword-rdf.com/K54798
B979,http://idword-rdf.com/K50299
B981,http://idword-rdf.com/K58684
B986,http://idword-rdf.com/K4979
B990,http://idword-rdf.com/K4577
B990,http://idword-rdf.com/K9830
B991,http://idword-rdf.com/K4698
B992,http://idword-rdf.com/K2288
B998,http://idword-rdf.com/K63468
B998,http://idword-rdf.com/K12558
B1002,http://idword-rdf.com/K62436
B1002,http://idword-rdf.com/K30977
B1006,http://idword-rdf.com/K49410
B1009,http://idword-rdf.com/K26818
B1012,http://idword-rdf.com/K57731
B1017,http://idword-rdf.com/K13783
B1019,http://idword-rdf.com/K19405
B1019,http://idword-rdf.com/K62362
B1026,http://idword-rdf.com/K23802
B1032,http://idword-rdf.com/K31151
B1042,http://idword-rdf.com/K64795
B1042,http://idword-rdf.com/K66396
B1042,http://idword-rdf.com/K65024
B1043,http://idword-rdf.com/K64795
B1043,http://idword-rdf.com/K66396
B1043,http://idword-rdf.com/K65024
B1047,http://idword-rdf.com/K5335
B1051,http://idword-rdf.com/K4796
B1051,http://idword-rdf.com/K48481
B1051,http://idword-rdf.com/K12677
B1051,http://idword-rdf.com/K5455
B1060,http://idword-rdf.com/K32673
B1060,http://idword-rdf.com/K48803
B1078,http://idword-rdf.com/K3266
B1078,http://idword-rdf.com/K34451
B1081,http://idword-rdf.com/K4374
B1081,http://idword-rdf.com/K46441
B1082,http://idword-rdf.com/K30200
B1084,http://idword-rdf.com/K56955
B1084,http://idword-rdf.com/K24111
B1092,http://idword-rdf.com/K2068
B1094,http://idword-rdf.com/K65197
B1095,http://idword-rdf.com/K10444
B1095,http://idword-rdf.com/K5237
B1095,http://idword-rdf.com/K46168
B1098,http://idword-rdf.com/K1283
B1099,http://idword-rdf.com/K4818
B1099,http://idword-rdf.com/K41857
B1099,http://idword-rdf.com/K43008
B1099,http://idword-rdf.com/K4141
B1100,http://idword-rdf.com/K9751
B1100,http://idword-rdf.com/K55082
B1100,http://idword-rdf.com/K67070
B1102,http://idword-rdf.com/K17278
B1102,http://idword-rdf.com/K2518
B1102,http://idword-rdf.com/K9824
B1102,http://idword-rdf.com/K12176
B1104,http://idword-rdf.com/K33241
B1104,http://idword-rdf.com/K31814
B1104,http://idword-rdf.com/K31482
B1104,http://idword-rdf.com/K33143
B1106,http://idword-rdf.com/K45812
B1114,http://idword-rdf.com/K9830
B1114,http://idword-rdf.com/K11258
B1115,http://idword-rdf.com/K63379
B1115,http://idword-rdf.com/K67878
B1116,http://idword-rdf.com/K32380
B1116,http://idword-rdf.com/K68045
B1118,http://idword-rdf.com/K57779
B1118,http://idword-rdf.com/K15784
B1119,http://idword-rdf.com/K20166
B1121,http://idword-rdf.com/K25392
B1121,http://idword-rdf.com/K45837
B1121,http://idword-rdf.com/K20019
B1124,http://idword-rdf.com/K5070
B1131,http://idword-rdf.com/K23942
B1135,http://idword-rdf.com/K64316
B1135,http://idword-rdf.com/K23805
B1136,http://idword-rdf.com/K9942
B1140,http://idword-rdf.com/K11039
B1141,http://idword-rdf.com/K3677
B1141,http://idword-rdf.com/K3298
B1147,http://idword-rdf.com/K52990
B1158,http://idword-rdf.com/K46411
B1158,http://idword-rdf.com/K60701
B1161,http://idword-rdf.com/K67337
B1170,http://idword-rdf.com/K9995
B1185,http://idword-rdf.com/K46080
B1187,http://idword-rdf.com/K67070
B1187,http://idword-rdf.com/K55082
B1193,http://idword-rdf.com/K20150
B1195,http://idword-rdf.com/K53622
B1201,http://idword-rdf.com/K56816
B1201,http://idword-rdf.com/K10141
B1208,http://idword-rdf.com/K55114
B1209,http://idword-rdf.com/K12179
B1209,http://idword-rdf.com/K746
B1209,http://idword-rdf.com/K9824
B1209,http://idword-rdf.com/K2518
B1209,http://idword-rdf.com/K4843
B1211,http://idword-rdf.com/K51617
