ID,Translation-English
K199,http://wordnet-rdf.princeton.edu/wn31/301047301-s
K199,http://wordnet-rdf.princeton.edu/wn31/301197871-s
K199,http://wordnet-rdf.princeton.edu/wn31/301283686-s
K199,http://wordnet-rdf.princeton.edu/wn31/301345797-s
K199,http://wordnet-rdf.princeton.edu/wn31/301536573-s
K199,http://wordnet-rdf.princeton.edu/wn31/301679159-s
K199,http://wordnet-rdf.princeton.edu/wn31/301728073-s
K199,http://wordnet-rdf.princeton.edu/wn31/301728286-s
K199,http://wordnet-rdf.princeton.edu/wn31/301936403-s
K199,http://wordnet-rdf.princeton.edu/wn31/302348780-s
K205,http://wordnet-rdf.princeton.edu/wn31/101722555-n
K205,http://wordnet-rdf.princeton.edu/wn31/114731522-n
K205,http://wordnet-rdf.princeton.edu/wn31/202609706-v
K205,http://wordnet-rdf.princeton.edu/wn31/202622766-v
K205,http://wordnet-rdf.princeton.edu/wn31/300043985-a
K205,http://wordnet-rdf.princeton.edu/wn31/300930258-a
K205,http://wordnet-rdf.princeton.edu/wn31/301736035-s
K205,http://wordnet-rdf.princeton.edu/wn31/301853029-s
K205,http://wordnet-rdf.princeton.edu/wn31/301939402-a
K210,http://wordnet-rdf.princeton.edu/wn31/109538162-n
K211,http://wordnet-rdf.princeton.edu/wn31/100527296-n
K211,http://wordnet-rdf.princeton.edu/wn31/107061862-n
K211,http://wordnet-rdf.princeton.edu/wn31/300986072-s
K217,http://wordnet-rdf.princeton.edu/wn31/113635143-n
K218,http://wordnet-rdf.princeton.edu/wn31/102681592-n
K218,http://wordnet-rdf.princeton.edu/wn31/109609728-n
K222,http://wordnet-rdf.princeton.edu/wn31/109489410-n
K222,http://wordnet-rdf.princeton.edu/wn31/113977471-n
K226,http://wordnet-rdf.princeton.edu/wn31/100194255-n
K226,http://wordnet-rdf.princeton.edu/wn31/106420422-n
K226,http://wordnet-rdf.princeton.edu/wn31/113448251-n
K226,http://wordnet-rdf.princeton.edu/wn31/300046691-s
K230,http://wordnet-rdf.princeton.edu/wn31/300046329-a
K231,http://wordnet-rdf.princeton.edu/wn31/102681751-n
K231,http://wordnet-rdf.princeton.edu/wn31/109829330-n
K233,http://wordnet-rdf.princeton.edu/wn31/115240276-n
K234,http://wordnet-rdf.princeton.edu/wn31/107830766-n
K234,http://wordnet-rdf.princeton.edu/wn31/107833734-n
