ID,Translation-Indonesia
B911,K11328
B912,K5632
B912,K59628
B912,K34117
B914,K35696
B915,K12486
B915,K63194
B918,K24624
B918,K20573
B918,K4481
B920,K60172
B920,K60158
B920,K3966
B927,K4410
B928,K6913
B928,K2589
B929,K27828
B933,K30304
B933,K10169
B936,K65704
B941,K4450
B943,K9394
B946,K4127
B952,K5363
B955,K57047
B955,K46474
B955,K3672
B961,K58905
B961,K56375
B961,K19286
B967,K15062
B967,K5117
B968,K19339
B968,K14984
B971,K12640
B974,K11495
B975,K4514
B976,K54798
B979,K50299
B981,K58684
B986,K4979
B990,K4577
B990,K9830
B991,K4698
B992,K2288
B998,K63468
B998,K12558
B1002,K62436
B1002,K30977
B1006,K49410
B1009,K26818
B1012,K57731
B1017,K13783
B1019,K19405
B1019,K62362
B1026,K23802
B1032,K31151
B1042,K64795
B1042,K66396
B1042,K65024
B1043,K64795
B1043,K66396
B1043,K65024
B1047,K5335
B1051,K4796
B1051,K48481
B1051,K12677
B1051,K5455
B1060,K32673
B1060,K48803
B1078,K3266
B1078,K34451
B1081,K4374
B1081,K46441
B1082,K30200
B1084,K56955
B1084,K24111
B1092,K2068
B1094,K65197
B1095,K10444
B1095,K5237
B1095,K46168
B1098,K1283
B1099,K4818
B1099,K41857
B1099,K43008
B1099,K4141
B1100,K9751
B1100,K55082
B1100,K67070
B1102,K17278
B1102,K2518
B1102,K9824
B1102,K12176
B1104,K33241
B1104,K31814
B1104,K31482
B1104,K33143
B1106,K45812
B1114,K9830
B1114,K11258
B1115,K63379
B1115,K67878
B1116,K32380
B1116,K68045
B1118,K57779
B1118,K15784
B1119,K20166
B1121,K25392
B1121,K45837
B1121,K20019
B1124,K5070
B1131,K23942
B1135,K64316
B1135,K23805
B1136,K9942
B1140,K11039
B1141,K3677
B1141,K3298
B1147,K52990
B1158,K46411
B1158,K60701
B1161,K67337
B1170,K9995
B1185,K46080
B1187,K67070
B1187,K55082
B1193,K20150
B1195,K53622
B1201,K56816
B1201,K10141
B1208,K55114
B1209,K12179
B1209,K746
B1209,K9824
B1209,K2518
B1209,K4843
B1211,K51617
B1212,K9661
B1216,K10183
B1218,K4904
B1219,K50502
B1222,K4733
B1222,K2030
B1222,K10473
