ID,Translation-Indonesia
100056752-n,http://idword-rdf.com/K53184
100056907-n,http://idword-rdf.com/K52530
100056907-n,http://idword-rdf.com/K15747
100057131-n,http://idword-rdf.com/K21105
100057508-n,http://idword-rdf.com/K38300
100057732-n,http://idword-rdf.com/K46432
100057982-n,http://idword-rdf.com/K70178
100058126-n,http://idword-rdf.com/K46432
100058126-n,http://idword-rdf.com/K51028
100058126-n,http://idword-rdf.com/K49975
100058306-n,http://idword-rdf.com/K58009
100058306-n,http://idword-rdf.com/K64553
100058477-n,http://idword-rdf.com/K49912
100058822-n,http://idword-rdf.com/K13407
100058822-n,http://idword-rdf.com/K51269
100059157-n,http://idword-rdf.com/K15703
100059339-n,http://idword-rdf.com/K26425
100059563-n,http://idword-rdf.com/K51514
100059563-n,http://idword-rdf.com/K35307
100059947-n,http://idword-rdf.com/K52198
100060196-n,http://idword-rdf.com/K67561
100060196-n,http://idword-rdf.com/K67646
100060196-n,http://idword-rdf.com/K15636
100060372-n,http://idword-rdf.com/K34390
100060548-n,http://idword-rdf.com/K36610
100060715-n,http://idword-rdf.com/K41514
100060809-n,http://idword-rdf.com/K49870
100060809-n,http://idword-rdf.com/K21865
100061021-n,http://idword-rdf.com/K31138
100061234-n,http://idword-rdf.com/K26428
100061834-n,http://idword-rdf.com/K38719
100061991-n,http://idword-rdf.com/K54134
100062110-n,http://idword-rdf.com/K52287
100062418-n,http://idword-rdf.com/K53080
100062612-n,http://idword-rdf.com/K53080
100062737-n,http://idword-rdf.com/K19633
100062737-n,http://idword-rdf.com/K57428
100062953-n,http://idword-rdf.com/K25478
100062953-n,http://idword-rdf.com/K28911
100062953-n,http://idword-rdf.com/K48139
100063271-n,http://idword-rdf.com/K50661
100063491-n,http://idword-rdf.com/K27806
100063626-n,http://idword-rdf.com/K51112
100063834-n,http://idword-rdf.com/K44798
100064379-n,http://idword-rdf.com/K57664
100064472-n,http://idword-rdf.com/K25222
100064838-n,http://idword-rdf.com/K26651
100065190-n,http://idword-rdf.com/K68895
100065324-n,http://idword-rdf.com/K37874
100065324-n,http://idword-rdf.com/K4118
100065324-n,http://idword-rdf.com/K41415
100065324-n,http://idword-rdf.com/K43908
100065609-n,http://idword-rdf.com/K38173
100066036-n,http://idword-rdf.com/K50940
100066156-n,http://idword-rdf.com/K30614
100066395-n,http://idword-rdf.com/K30162
100066395-n,http://idword-rdf.com/K33317
100066395-n,http://idword-rdf.com/K32546
100066675-n,http://idword-rdf.com/K29985
100067217-n,http://idword-rdf.com/K25599
100067456-n,http://idword-rdf.com/K25599
100067721-n,http://idword-rdf.com/K16918
100067721-n,http://idword-rdf.com/K25599
100068074-n,http://idword-rdf.com/K37371
100068346-n,http://idword-rdf.com/K27757
100068527-n,http://idword-rdf.com/K43894
100068527-n,http://idword-rdf.com/K22454
100068527-n,http://idword-rdf.com/K24318
100068810-n,http://idword-rdf.com/K40787
100068810-n,http://idword-rdf.com/K16798
100068990-n,http://idword-rdf.com/K41322
100068990-n,http://idword-rdf.com/K25385
100069153-n,http://idword-rdf.com/K26593
100069153-n,http://idword-rdf.com/K51880
100069153-n,http://idword-rdf.com/K23969
100069153-n,http://idword-rdf.com/K60742
100069153-n,http://idword-rdf.com/K26760
100069721-n,http://idword-rdf.com/K49841
100071183-n,http://idword-rdf.com/K12544
100071461-n,http://idword-rdf.com/K46148
100071461-n,http://idword-rdf.com/K37370
100071785-n,http://idword-rdf.com/K27829
100072366-n,http://idword-rdf.com/K27830
100072888-n,http://idword-rdf.com/K27829
100073081-n,http://idword-rdf.com/K69192
100073081-n,http://idword-rdf.com/K47334
100073081-n,http://idword-rdf.com/K569
100073293-n,http://idword-rdf.com/K25257
